"client_id";"last_purchase_date";"recency_days";"frequency";"monetary";"r_score";"f_score";"m_score";"rfm_code";"segment"
"2000200239284";2022-06-09;1;12;16290;5;5;5;"555";Champions
"2000200239277";2022-06-07;3;9;16089;5;5;5;"555";Champions
"2000200238997";2022-06-06;4;11;16065;5;5;5;"555";Champions
"2000200186274";2022-06-03;7;23;15971;5;5;5;"555";Champions
"2000200173434";2022-06-09;1;25;15931;5;5;5;"555";Champions
"2000200181651";2022-06-04;6;9;15924;5;5;5;"555";Champions
"2000200180388";2022-05-23;18;15;15511;5;5;5;"555";Champions
"2000200188902";2022-06-03;7;44;15356;5;5;5;"555";Champions
"2000200219729";2022-06-08;2;17;15355;5;5;5;"555";Champions
"2000200189947";2022-05-23;18;13;15319;5;5;5;"555";Champions
"2000200231240";2022-06-07;3;7;15133;5;5;5;"555";Champions
"2000200159643";2022-06-06;4;30;15129;5;5;5;"555";Champions
"2000200218616";2022-06-01;9;12;15057;5;5;5;"555";Champions
"2000200173618";2022-05-21;20;12;15044;5;5;5;"555";Champions
"2000200186229";2022-05-30;11;29;14921;5;5;5;"555";Champions
"2000200157007";2022-05-28;13;29;14913;5;5;5;"555";Champions
"2000200205494";2022-05-20;21;15;14719;5;5;5;"555";Champions
"2000200245025";2022-06-07;3;12;14524;5;5;5;"555";Champions
"2000200252504";2022-06-06;4;6;14427;5;5;5;"555";Champions
"2000200161448";2022-06-07;3;16;14413;5;5;5;"555";Champions
"2000200182726";2022-05-31;10;14;14408;5;5;5;"555";Champions
"2000200222996";2022-06-09;1;8;14387;5;5;5;"555";Champions
"2000200240334";2022-06-02;8;11;14093;5;5;5;"555";Champions
"2000200226970";2022-05-30;11;6;13976;5;5;5;"555";Champions
"2000200182030";2022-05-30;11;15;13963;5;5;5;"555";Champions
"2000200170808";2022-05-19;22;27;13958;5;5;5;"555";Champions
"2000200184850";2022-06-09;1;14;13855;5;5;5;"555";Champions
"2000200205661";2022-06-05;5;14;13828;5;5;5;"555";Champions
"2000200170549";2022-05-31;10;13;13642;5;5;5;"555";Champions
"2000200152293";2022-05-25;16;15;13438;5;5;5;"555";Champions
"2000200161950";2022-06-03;7;12;13347;5;5;5;"555";Champions
"2000200179344";2022-06-05;5;29;13053;5;5;5;"555";Champions
"2000200218333";2022-05-21;20;15;13029;5;5;5;"555";Champions
"2000200192268";2022-06-07;3;29;12908;5;5;5;"555";Champions
"2000200203780";2022-05-23;18;12;12871;5;5;5;"555";Champions
"2000200210306";2022-06-02;8;15;12867;5;5;5;"555";Champions
"2000200213659";2022-06-07;3;13;12789;5;5;5;"555";Champions
"2000200221784";2022-06-05;5;5;12749;5;5;5;"555";Champions
"2000200186984";2022-05-31;10;24;12748;5;5;5;"555";Champions
"2000200240594";2022-06-01;9;7;12649;5;5;5;"555";Champions
"2000200197232";2022-06-05;5;11;12636;5;5;5;"555";Champions
"2000200187660";2022-06-04;6;13;12628;5;5;5;"555";Champions
"2000200226635";2022-06-06;4;10;12564;5;5;5;"555";Champions
"2000200169154";2022-06-03;7;13;12510;5;5;5;"555";Champions
"2000200197348";2022-06-04;6;21;12496;5;5;5;"555";Champions
"2000200150145";2022-05-19;22;14;12426;5;5;5;"555";Champions
"2000200170464";2022-06-07;3;20;12425;5;5;5;"555";Champions
"2000200173090";2022-06-02;8;14;12422;5;5;5;"555";Champions
"2000200193708";2022-05-24;17;15;12163;5;5;5;"555";Champions
"2000200184829";2022-05-27;14;18;12159;5;5;5;"555";Champions
"2000200169284";2022-06-04;6;18;12115;5;5;5;"555";Champions
"2000200204305";2022-06-03;7;12;12109;5;5;5;"555";Champions
"2000200176565";2022-05-23;18;13;12011;5;5;5;"555";Champions
"2000200156512";2022-05-29;12;15;11977;5;5;5;"555";Champions
"2000200205609";2022-06-07;3;6;11858;5;5;5;"555";Champions
"2000200198871";2022-06-03;7;21;11620;5;5;5;"555";Champions
"2000200164562";2022-05-20;21;11;11426;5;5;5;"555";Champions
"2000200174004";2022-05-24;17;14;11265;5;5;5;"555";Champions
"2000200161202";2022-06-01;9;14;11264;5;5;5;"555";Champions
"2000200161936";2022-05-27;14;14;11251;5;5;5;"555";Champions
"2000200188766";2022-05-20;21;17;11248;5;5;5;"555";Champions
"2000200181491";2022-05-25;16;18;11245;5;5;5;"555";Champions
"2000200210290";2022-05-26;15;12;11178;5;5;5;"555";Champions
"2000200165422";2022-05-23;18;14;10979;5;5;5;"555";Champions
"2000200200369";2022-06-03;7;12;10876;5;5;5;"555";Champions
"2000200182214";2022-05-23;18;14;10861;5;5;5;"555";Champions
"2000200243526";2022-06-07;3;5;10846;5;5;5;"555";Champions
"2000200227625";2022-06-03;7;21;10843;5;5;5;"555";Champions
"2000200187783";2022-06-01;9;15;10715;5;5;5;"555";Champions
"2000200193180";2022-06-09;1;9;10707;5;5;5;"555";Champions
"2000200178804";2022-06-06;4;9;10703;5;5;5;"555";Champions
"2000200205319";2022-06-07;3;21;10622;5;5;5;"555";Champions
"2000200173403";2022-06-07;3;18;10599;5;5;5;"555";Champions
"2000200204794";2022-06-03;7;7;10542;5;5;5;"555";Champions
"2000200170822";2022-05-30;11;16;10525;5;5;5;"555";Champions
"2000200155621";2022-05-25;16;11;10438;5;5;5;"555";Champions
"2000200187271";2022-06-08;2;9;10435;5;5;5;"555";Champions
"2000200189558";2022-05-24;17;17;10400;5;5;5;"555";Champions
"2000200205852";2022-06-09;1;14;10281;5;5;5;"555";Champions
"2000200227540";2022-05-22;19;17;10180;5;5;5;"555";Champions
"2000200193371";2022-06-06;4;10;10118;5;5;5;"555";Champions
